ID;Age;Experience;Income;ZIP Code;Family;CCAvg;Education;Mortgage;PersonalLoan;SecuritiesAccount;CDAccount;Online;CreditCard;ExperienceCategory;IncomeCategory;Log_Income;FamilySizeCategory;Income_Family_Interaction;SpendingperFamily;Log_Mortgage;Mortgage/Income;SpendingCategory;MortgageDependency;AgeGroup;EducationLevel
1;25;1;49;91107;4;1600;1;0;0;1;0;0;0;Junior;Middle Income;3.912023005428146;Medium;12.25;400.0;0.0;0.0;High Spender;No Mortgage;Young Adult;Undergraduate
2;45;19;34;90089;3;1500;1;0;0;1;0;0;0;Senior;Middle Income;3.5553480614894135;Medium;11.333333333333334;500.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
3;39;15;11;94720;1;1000;1;0;0;0;0;0;0;Senior;Low Income;2.4849066497880004;Small;11.0;1000.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
4;35;9;100;94112;1;2700;2;0;0;0;0;0;0;Senior;High Income;4.61512051684126;Small;100.0;2700.0;0.0;0.0;High Spender;No Mortgage;Adult;Graduate
5;35;8;45;91330;4;1000;2;0;0;0;0;0;1;Senior;Middle Income;3.828641396489095;Medium;11.25;250.0;0.0;0.0;High Spender;No Mortgage;Adult;Graduate
6;37;13;29;92121;4;400;2;155;0;0;0;1;0;Senior;Middle Income;3.4011973816621555;Medium;7.25;100.0;5.049856007249537;5.344827586206897;High Spender;High Dependency;Adult;Graduate
7;53;27;72;91711;2;1500;2;0;0;0;0;1;0;Senior;High Income;4.290459441148391;Small;36.0;750.0;0.0;0.0;High Spender;No Mortgage;Senior;Graduate
8;50;24;22;93943;1;300;3;0;0;0;0;0;1;Senior;Low Income;3.1354942159291497;Small;22.0;300.0;0.0;0.0;High Spender;No Mortgage;Adult;Advanced/PhD
9;35;10;81;90089;3;600;2;104;0;0;0;1;0;Senior;High Income;4.406719247264253;Medium;27.0;200.0;4.653960350157523;1.2839506172839505;High Spender;High Dependency;Adult;Graduate
10;34;9;180;93023;1;8900;3;0;1;0;0;0;0;Senior;High Income;5.198497031265826;Small;180.0;8900.0;0.0;0.0;High Spender;No Mortgage;Adult;Advanced/PhD
11;65;39;105;94710;4;2400;3;0;0;0;0;0;0;Senior;High Income;4.663439094112067;Medium;26.25;600.0;0.0;0.0;High Spender;No Mortgage;Senior;Advanced/PhD
12;29;5;45;90277;3;100;2;0;0;0;0;1;0;Mid-Level;Middle Income;3.828641396489095;Medium;15.0;33.333333333333336;0.0;0.0;High Spender;No Mortgage;Young Adult;Graduate
13;48;23;114;93106;2;3800;3;0;0;1;0;0;0;Senior;High Income;4.74493212836325;Small;57.0;1900.0;0.0;0.0;High Spender;No Mortgage;Adult;Advanced/PhD
14;59;32;40;94920;4;2500;2;0;0;0;0;1;0;Senior;Middle Income;3.713572066704308;Medium;10.0;625.0;0.0;0.0;High Spender;No Mortgage;Senior;Graduate
15;67;41;112;91741;1;2000;1;0;0;1;0;0;0;Senior;High Income;4.727387818712341;Small;112.0;2000.0;0.0;0.0;High Spender;No Mortgage;Senior;Undergraduate
16;60;30;22;95054;1;1500;3;0;0;0;0;1;1;Senior;Low Income;3.1354942159291497;Small;22.0;1500.0;0.0;0.0;High Spender;No Mortgage;Senior;Advanced/PhD
17;38;14;130;95010;4;4700;3;134;1;0;0;0;0;Senior;High Income;4.875197323201151;Medium;32.5;1175.0;4.90527477843843;1.0307692307692307;High Spender;High Dependency;Adult;Advanced/PhD
18;42;18;81;94305;4;2400;1;0;0;0;0;0;0;Senior;High Income;4.406719247264253;Medium;20.25;600.0;0.0;0.0;High Spender;No Mortgage;Adult;Undergraduate
19;46;21;193;91604;2;8100;3;0;1;0;0;0;0;Senior;High Income;5.267858159063328;Small;96.5;4050.0;0.0;0.0;High Spender;No Mortgage;Adult;Advanced/PhD
20;55;28;21;94720;1;500;2;0;0;1;0;0;1;Senior;Low Income;3.091042453358316;Small;21.0;500.0;0.0;0.0;High Spender;No Mortgage;Senior;Graduate
21;56;31;25;94015;4;900;2;111;0;0;0;1;0;Senior;Middle Income;3.258096538021482;Medium;6.25;225.0;4.718498871295094;4.44;High Spender;High Dependency;Senior;Graduate
22;57;27;63;90095;3;2000;3;0;0;0;0;1;0;Senior;Middle Income;4.1588830833596715;Medium;21.0;666.6666666666666;0.0;0.0;High Spender;No Mortgage;Senior;Advanced/PhD
23;29;5;62;90277;1;1200;1;260;0;0;0;1;0;Mid-Level;Middle Income;4.143134726391533;Small;62.0;1200.0;5.564520407322694;4.193548387096774;High Spender;High Dependency;Young Adult;Undergraduate
24;44;18;43;91320;2;700;1;163;0;1;0;0;0;Senior;Middle Income;3.784189633918261;Small;21.5;350.0;5.099866427824199;3.7906976744186047;High Spender;High Dependency;Adult;Undergraduate
25;36;11;152;95521;2;3900;1;159;0;0;0;0;1;Senior;High Income;5.030437921392435;Small;76.0;1950.0;5.075173815233827;1.0460526315789473;High Spender;High Dependency;Adult;Undergraduate
